date,clicks,impressions,ctr,position
2026-04-25,2,674,0.2967,9.15
2026-04-26,2,735,0.2721,9.44
2026-04-27,4,763,0.5242,9.37
2026-04-28,3,847,0.3542,9.27
2026-04-29,5,874,0.5721,9.31
2026-04-30,2,828,0.2415,9.24
2026-05-01,2,1841,0.1086,7.63
2026-05-02,9,2526,0.3563,7.68
2026-05-03,11,3001,0.3665,7.46
2026-05-04,7,3024,0.2315,7.54
2026-05-05,13,3018,0.4307,8.02
2026-05-06,6,2978,0.2015,7.96
2026-05-07,3,3080,0.0974,7.61
2026-05-08,10,3231,0.3095,7.73
2026-05-09,11,3177,0.3462,7.30
2026-05-10,10,3389,0.2951,7.34
2026-05-11,14,3394,0.4125,7.66
2026-05-12,14,3263,0.4291,7.74
2026-05-13,6,3424,0.1752,7.69
2026-05-14,12,3383,0.3547,8.28
2026-05-15,10,3487,0.2868,7.92
2026-05-16,9,3399,0.2648,7.79
2026-05-17,9,3369,0.2671,7.58
2026-05-18,11,3205,0.3432,7.80
2026-05-19,15,3338,0.4494,8.44
2026-05-20,9,3448,0.2610,7.97
2026-05-21,6,3187,0.1883,8.16
2026-05-22,16,3379,0.4735,8.35
2026-05-23,8,3497,0.2288,8.08
2026-05-24,9,3623,0.2484,8.26
2026-05-25,17,3464,0.4908,7.73
2026-05-26,17,3693,0.4603,7.36
2026-05-27,22,4277,0.5144,7.72
2026-05-28,18,4469,0.4028,7.52
2026-05-29,13,4434,0.2932,6.95
2026-05-30,13,3763,0.3455,7.06
2026-05-31,10,4022,0.2486,6.86
2026-06-01,14,4822,0.2903,6.70
2026-06-02,9,4476,0.2011,7.05
2026-06-03,7,3655,0.1915,7.01
2026-06-04,15,3520,0.4261,7.20
2026-06-05,12,4338,0.2766,7.53
2026-06-06,6,4171,0.1439,7.30
2026-06-07,17,4339,0.3918,7.35
2026-06-08,10,4362,0.2293,7.46
2026-06-09,7,4055,0.1726,7.54
2026-06-10,14,3921,0.3571,7.58
2026-06-11,9,4291,0.2097,7.17
2026-06-12,9,3999,0.2251,6.94
2026-06-13,15,3658,0.4101,7.31
2026-06-14,14,3800,0.3684,7.61
2026-06-15,16,3928,0.4073,7.74
2026-06-16,14,3888,0.3601,7.94
2026-06-17,11,3864,0.2847,8.40
2026-06-18,11,3899,0.2821,7.82
2026-06-19,5,3642,0.1373,7.96
2026-06-20,17,3605,0.4716,8.19
2026-06-21,15,3923,0.3824,7.56
2026-06-22,27,4988,0.5413,6.99
2026-06-23,22,5153,0.4269,9.65
2026-06-24,13,3681,0.3532,7.34
2026-06-25,15,3779,0.3969,7.35
2026-06-26,14,3903,0.3587,8.05
2026-06-27,13,4199,0.3096,8.50
2026-06-28,14,4108,0.3408,7.70
2026-06-29,10,4115,0.2430,7.49
2026-06-30,12,4254,0.2821,7.86
2026-07-01,15,4003,0.3747,7.76
2026-07-02,15,3915,0.3831,7.69
2026-07-03,8,3988,0.2006,7.74
2026-07-04,19,4708,0.4036,7.75
2026-07-05,15,5233,0.2866,7.54
2026-07-06,14,4659,0.3005,7.72
2026-07-07,24,4702,0.5104,7.60
2026-07-08,26,5371,0.4841,7.65
2026-07-09,29,5195,0.5582,7.73
2026-07-10,34,5026,0.6765,7.86
2026-07-11,24,5476,0.4383,8.87
2026-07-12,28,6035,0.4640,8.36
2026-07-13,30,5330,0.5629,8.28
2026-07-14,30,4957,0.6052,8.70
2026-07-15,23,4827,0.4765,8.06
2026-07-16,17,4749,0.3580,7.29
2026-07-17,20,4731,0.4227,7.49
2026-07-18,34,4781,0.7111,7.28
2026-07-19,23,4707,0.4886,7.32
2026-07-20,26,4913,0.5292,7.55
2026-07-21,28,5281,0.5302,7.87
2026-07-22,34,5126,0.6633,7.30
2026-07-23,35,5285,0.6623,7.52
2026-07-24,64,5848,1.0944,7.84
2026-07-25,28,5985,0.4678,7.97
2026-07-26,17,6335,0.2684,8.09
2026-07-27,28,5936,0.4717,8.95
2026-07-28,13,5430,0.2394,9.41
2026-07-29,26,5390,0.4824,9.18
2026-07-30,16,5614,0.2850,9.31
2026-07-31,16,5578,0.2868,9.12
2026-08-01,29,5929,0.4891,9.37
2026-08-02,28,6103,0.4588,9.74
2026-08-03,23,6164,0.3731,9.32
2026-08-04,39,5962,0.6541,8.50
2026-08-05,26,7382,0.3522,9.73
2026-08-06,34,6795,0.5004,9.38
2026-08-07,28,6248,0.4481,8.09
2026-08-08,22,7074,0.3110,7.47
2026-08-09,29,7123,0.4071,9.25
2026-08-10,33,7160,0.4609,9.30
2026-08-11,42,6745,0.6227,8.98
2026-08-12,32,6790,0.4713,9.10
2026-08-13,38,8055,0.4718,10.41
2026-08-14,28,6823,0.4104,8.61
2026-08-15,46,6524,0.7051,8.27
2026-08-16,48,7481,0.6416,9.26
2026-08-17,38,7888,0.4817,9.71
2026-08-18,33,6662,0.4953,8.62
2026-08-19,39,7283,0.5355,8.62
2026-08-20,60,7423,0.8083,8.18
2026-08-21,54,7867,0.6864,7.89
2026-08-22,50,7358,0.6795,7.86
